,LF_power,HF_power,LF_HF_ratio
user_1,1737.0537728380582,1642.1286831660339,1.0578061211920422
user_10,2955.7379341352716,2376.1578038816133,1.2439148314589525
user_11,1929.5049898374764,1090.2565995279233,1.7697714379100702
user_12,1268.231500120767,427.8773775185226,2.9640069018742774
user_13,1150.34377091967,485.8205399179364,2.3678368376808097
user_14,1247.0066042950768,334.3966198157173,3.7291244300922957
user_15,2614.7566759618326,2780.381056661606,0.9404310498005485
user_16,1999.978491167262,1822.3318856275594,1.0974831241996987
user_17,2082.6805767009673,1844.334799139923,1.1292312966562217
user_18,3463.7851713887076,2405.857990365112,1.4397296869808367
user_19,1698.7686976580792,1381.4365103072976,1.2297117420765082
user_2,2648.8756448475633,2912.097567720262,0.9096108846796771
user_20,1514.1589891658598,1300.3014596128978,1.1644676532291425
user_21,1128.8952426626067,579.2139901365406,1.9490123890075366
user_22,1561.0726221087439,555.8047604064701,2.8086708378803795
user_3,1683.1090551454236,1504.319100748904,1.1188510830631024
user_4,12729.91691024477,65347.11880388274,0.19480456282164954
user_5,2160.617714696018,1193.9903154014096,1.8095772527012803
user_6,2061.846797156342,1964.5753524810304,1.0495127074420785
user_7,1682.609697892231,432.5734157729815,3.8897667691518056
user_8,1683.2660372524085,2417.062997115626,0.6964096671295347
user_9,980.8621266634949,826.9087074173988,1.1861794631803109
