,TE_loco_to_card,TE_card_to_loco,TE_net
user_1,0.0007203524454399033,0.0006925558955023572,2.7796549937546093e-05
user_10,0.0005068150241633535,0.0006020498161785133,-9.523479201515987e-05
user_11,0.00042910037141523453,0.0010617266524347961,-0.0006326262810195616
user_12,0.0013398810144901096,0.0018237531425909618,-0.0004838721281008522
user_13,0.00040886631761732575,0.0016583066825773915,-0.0012494403649600657
user_14,0.0004749912258576964,0.0006796899906438931,-0.00020469876478619673
user_15,0.004405089633652445,0.0011009122272938106,0.0033041774063586344
user_16,0.000936000907925625,0.0017377459446086734,-0.0008017450366830484
user_17,0.0016097054374043455,0.0011940352312536122,0.00041567020615073335
user_18,0.00044351215848921857,0.00019763742911030585,0.0002458747293789127
user_19,0.0009531660129611334,0.0021977035478462125,-0.001244537534885079
user_2,0.00046407574306636635,0.0007808648856419283,-0.00031678914257556197
user_20,0.00043057825481582256,0.0006840145750951568,-0.0002534363202793342
user_21,0.0004912071493863471,0.00035116164761764523,0.00014004550176870183
user_22,0.0005412281548695344,0.001077961324079443,-0.0005367331692099086
user_3,0.0020642026732149645,0.0016952197956014055,0.000368982877613559
user_4,0.0028049273188084337,0.0002206231439492032,0.0025843041748592303
user_5,0.0006954745877199954,0.00026813810398427503,0.0004273364837357203
user_6,0.0010876475860812332,0.0007375484916349801,0.0003500990944462531
user_7,0.0008545111798761762,0.0024865862875736605,-0.0016320751076974844
