,mean_kxy,std_kxy,cv_kxy
user_1,-0.020714847418833605,0.16198602491753286,7.819802570713373
user_10,-0.0037838344463155954,0.06717683466983758,17.753635331908832
user_11,-0.004297529512237739,0.045538490489194686,10.596432150863924
user_12,-0.007061379758392994,0.11758912629300247,16.65242681514359
user_13,-0.020678209648509586,0.09607058588034105,4.645981584836282
user_14,-0.0016805621019094197,0.06393753112617467,38.045302228479386
user_15,0.05985856305258366,0.5300368298728859,8.85482032959005
user_16,-0.03008872674589165,0.1520751525847888,5.054223424436858
user_17,-0.034573250897217356,0.24821363076678848,7.179354476249487
user_18,0.013300468811348595,0.16122897166386138,12.122050871187508
user_19,-0.038288234783024684,0.12202059321233227,3.1868951576617386
user_2,0.010001165997622265,0.12419294395926507,12.41784523634006
user_20,-0.006780522525976962,0.08975178594408609,13.236704452132157
user_21,-0.0018974656413666118,0.07432572724030691,39.171032375449464
user_22,-0.0064619412208030335,0.08065280016020705,12.481201069944607
user_3,-0.009724725586223492,0.16863786969074002,17.341142519075078
user_4,-0.00433889584541936,0.1319177574071023,30.403524699226228
user_5,0.04585713101298701,0.3171108642697546,6.915191821851113
user_6,0.007048493731941154,0.22089770810363954,31.339699681211844
user_7,-0.020362525503517824,0.07018454602702223,3.4467503831067905
